record_id,asset_id,start_time,end_time,failure_code,issue_description,solution_description,cost
MAINT-2024-001,CNC-MAZAK-01,2024-09-02T08:00:00+08:00,2024-09-02T13:00:00+08:00,ERR_TEMP_01,主轴温度持续升高，超过80度。冷却系统效率下降，冷却液循环不畅。,清洗冷却系统，更换冷却液。检查冷却泵，清理过滤器。,1500.0
MAINT-2024-002,CNC-MAZAK-01,2024-05-31T08:00:00+08:00,2024-05-31T13:00:00+08:00,ERR_VIB_01,主轴振动异常，X轴方向振动值达到5.2mm/s，存在不平衡问题。,进行动平衡校正，调整主轴配重。检查刀具安装，确保同心度。,2800.0
MAINT-2024-003,CNC-MAZAK-01,2024-01-18T08:00:00+08:00,2024-01-18T16:00:00+08:00,ERR_VIB_01,主轴振动异常，X轴方向振动值达到5.2mm/s，存在不平衡问题。,进行动平衡校正，调整主轴配重。检查刀具安装，确保同心度。,2800.0
MAINT-2024-004,CNC-MAZAK-02,2024-10-20T08:00:00+08:00,2024-10-20T16:00:00+08:00,ERR_VIB_01,主轴振动异常，X轴方向振动值达到5.2mm/s，存在不平衡问题。,进行动平衡校正，调整主轴配重。检查刀具安装，确保同心度。,2800.0
MAINT-2024-005,CNC-MAZAK-02,2024-03-18T08:00:00+08:00,2024-03-18T12:00:00+08:00,ERR_VIB_01,主轴振动异常，X轴方向振动值达到5.2mm/s，存在不平衡问题。,进行动平衡校正，调整主轴配重。检查刀具安装，确保同心度。,2800.0
MAINT-2024-006,CNC-MAZAK-02,2024-02-28T08:00:00+08:00,2024-02-28T12:00:00+08:00,ERR_VIB_01,主轴振动异常，X轴方向振动值达到5.2mm/s，存在不平衡问题。,进行动平衡校正，调整主轴配重。检查刀具安装，确保同心度。,2800.0
MAINT-2024-007,COMP-ATLAS-01,2024-10-26T08:00:00+08:00,2024-10-26T12:00:00+08:00,ERR_FLOW_01,流量下降至9.5m³/min，低于正常值。过滤器堵塞。,更换空气过滤器，清洗管路。检查流量传感器。,800.0
MAINT-2024-008,COMP-ATLAS-01,2024-04-20T08:00:00+08:00,2024-04-20T14:00:00+08:00,ERR_PRESSURE_01,排气压力波动大，压力值在0.85-0.92MPa之间波动，超出正常范围。,更换空气过滤器，清洗压力阀。检查管路密封性，紧固连接。,1200.0
MAINT-2024-009,COMP-ATLAS-01,2024-01-22T08:00:00+08:00,2024-01-22T12:00:00+08:00,ERR_TEMP_02,排气温度持续偏高，达到105℃，接近临界值。冷却器效率下降。,清洗冷却器，更换冷却介质。检查风扇运行状态，清理散热片。,2100.0
MAINT-2024-010,COMP-ATLAS-01,2024-05-27T08:00:00+08:00,2024-05-27T16:00:00+08:00,ERR_TEMP_02,排气温度持续偏高，达到105℃，接近临界值。冷却器效率下降。,清洗冷却器，更换冷却介质。检查风扇运行状态，清理散热片。,2100.0
MAINT-2024-011,COMP-ATLAS-02,2024-06-22T08:00:00+08:00,2024-06-22T15:00:00+08:00,ERR_PRESSURE_01,排气压力波动大，压力值在0.85-0.92MPa之间波动，超出正常范围。,更换空气过滤器，清洗压力阀。检查管路密封性，紧固连接。,1200.0
MAINT-2024-012,COMP-ATLAS-02,2024-04-06T08:00:00+08:00,2024-04-06T14:00:00+08:00,ERR_FLOW_01,流量下降至9.5m³/min，低于正常值。过滤器堵塞。,更换空气过滤器，清洗管路。检查流量传感器。,800.0
MAINT-2024-013,COMP-ATLAS-02,2024-10-14T08:00:00+08:00,2024-10-14T16:00:00+08:00,ERR_PRESSURE_01,排气压力波动大，压力值在0.85-0.92MPa之间波动，超出正常范围。,更换空气过滤器，清洗压力阀。检查管路密封性，紧固连接。,1200.0
MAINT-2024-014,COMP-ATLAS-02,2024-02-23T08:00:00+08:00,2024-02-23T15:00:00+08:00,ERR_FLOW_01,流量下降至9.5m³/min，低于正常值。过滤器堵塞。,更换空气过滤器，清洗管路。检查流量传感器。,800.0
MAINT-2024-015,MILL-HAAS-01,2024-04-16T08:00:00+08:00,2024-04-16T15:00:00+08:00,ERR_COOLANT_01,冷却液温度升高至32℃，流量下降。冷却系统效率下降。,更换冷却液，清洗冷却系统。检查冷却泵。,900.0
MAINT-2024-016,MILL-HAAS-01,2024-11-01T08:00:00+08:00,2024-11-01T15:00:00+08:00,ERR_COOLANT_01,冷却液温度升高至32℃，流量下降。冷却系统效率下降。,更换冷却液，清洗冷却系统。检查冷却泵。,900.0
MAINT-2024-017,MILL-HAAS-01,2024-03-21T08:00:00+08:00,2024-03-21T12:00:00+08:00,ERR_VIB_02,主轴振动值达到5.5mm/s，存在不平衡。,进行动平衡校正，检查刀具安装。,1500.0
MAINT-2024-018,MILL-HAAS-01,2024-07-21T08:00:00+08:00,2024-07-21T13:00:00+08:00,ERR_COOLANT_01,冷却液温度升高至32℃，流量下降。冷却系统效率下降。,更换冷却液，清洗冷却系统。检查冷却泵。,900.0
